"taxon","0_Drug - 0_Placebo","0_Drug - 4_Drug","0_Drug - 8_Drug","0_Placebo - 4_Placebo","0_Placebo - 8_Placebo","4_Drug - 4_Placebo","4_Drug - 8_Drug","4_Placebo - 8_Placebo","8_Drug - 8_Placebo"
"Otu00002",0.468113,0.9235078,0.3542725,0.9289704,0.1424346,0.3791679,0.3779326,0.1321107,0.8734696
"Otu00003",0.29842333,0.92781062,0.18780113,0.90887749,0.18699996,0.27831137,0.22312716,0.15269996,0.43179748
"Otu00004",0.11532551,0.48989679,0.60784237,0.98219485,0.62752561,0.45379443,0.21917299,0.67891518,0.15339003
"Otu00005",0.5706561,0.3376886,0.5555355,0.186615,0.5759623,0.8909908,0.577489,0.3395946,0.7156916
"Otu00006",0.51157367,0.12221725,0.34726935,0.33737138,0.82137541,0.69231391,0.7125078,0.38659236,0.77362385
"Otu00008",0.9523141,0.7217402,0.7367711,1,0.8353114,0.7567165,0.8439832,0.9491597,0.938149
"Otu00014",0.4319955,0.6876974,0.5810821,0.7005526,0.1373232,0.7308931,0.4438714,0.2587759,0.6758794
"Otu00015",0.2143,0.1318591,0.2600957,1,0.9174028,0.9668947,1,0.9913834,0.8731059
"Otu00017",0.2679523,0.1550747,0.2392509,0.9578215,0.9553367,1,1,0.9737632,1
"Otu00024",0.6832157,0.1042115,0.3947797,0.399127,0.2948226,0.8051573,0.563138,0.7299982,0.5126895
"Otu00025",0.9315783,0.4176455,0.5629625,0.4289788,0.6697654,0.9819127,0.8102016,0.8254601,0.9871475
"Otu00027",0.9178499,0.9254301,0.5665106,0.9721873,0.3339243,0.9411996,0.5717366,0.4096832,0.789641
"g__Akkermansia",0.43712411,0.6996824,0.74300544,0.45451873,0.3310477,0.1983925,0.50880513,0.776167,0.07622133
"g__Bacteroides",0.58031356,0.04607425,0.32707828,0.23351521,0.48923111,0.8075005,0.4850115,0.52099696,0.73898843
"g__Clostridium",0.9750829,0.6240317,0.7861987,0.6198575,0.5126522,0.3488879,0.6676043,0.215531,0.5606686
"g__Collinsella",0.7260631,0.1705658,0.2505456,0.7708312,0.6496953,0.8343102,0.7890499,0.9464524,1
"g__Enterococcus",0.4102048,0.9052618,0.465017,0.9183042,0.1332305,0.3784096,0.4094627,0.1275383,0.8591274
"g__Escherichia",0.5706561,0.3376886,0.5555355,0.186615,0.5759623,0.8909908,0.577489,0.3395946,0.7156916
"g__Lactobacillus",0.4611212,0.9627294,0.5636938,0.9519954,0.9913924,0.3253768,0.7541379,1,0.7293356
"g__Roseburia",0.4746002,0.9411069,0.6407099,0.7612178,0.2686766,0.6280932,0.6379322,0.280457,0.6511728
"g__Ruminococcus_L",0.94381426,0.29056474,0.06493243,0.66870136,0.22679507,0.11892765,0.31431765,0.09246675,0.46283958
"f__Enterobacteriaceae",0.6822851,0.31399653,0.3702469,0.15794992,0.64635117,0.40070888,0.88716002,0.32085585,0.84515401
"f__Enterococcaceae",0.468113,0.9235078,0.3542725,0.9289704,0.1424346,0.3791679,0.3779326,0.1321107,0.8734696
"f__Lachnospiraceae",0.6040365,0.467325,0.3194788,0.6805529,0.4367535,0.1535021,0.6212429,0.2817371,0.4844212
"f__Verrucomicrobiaceae",0.33757909,0.59160208,0.67042501,0.48018135,0.33961768,0.23086309,0.39623036,0.70741933,0.03616497
